filename,folder,extension,size(bytes),absolute_path,modification_time,md5_checksum,sha256_checksum
01-1480.pdf,networked-services-labs-main\data\webfiles-samples\pdf,.pdf,49088,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\pdf\01-1480.pdf,2022-10-05T10:51:04,01c8ed0f4635e7974734087ffec0087d,a9b5603c9cdb8e9b5d362758dc1e0b3c10bb250fade691d58e3bc2467dfa9020
Chapter03.pdf,networked-services-labs-main\data\webfiles-samples\pdf,.pdf,51919,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\pdf\Chapter03.pdf,2022-10-05T10:51:04,b4c4ac3b610fc0057ef57acaace0c78a,69781aa7568c6dd54443c11cbc8e3ff4223c36b8d5f1f2adc3d387b4cae05694
file.pdf,networked-services-labs-main\data\webfiles-samples\pdf,.pdf,1538,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\pdf\file.pdf,2022-10-05T10:51:04,b76bb219e68469283095b12a0b6aef2c,aa3749f994f8869e3d982514ea4dd17e08812feb40e70c03b7e6b8503f802e69
HR2021 commtext.pdf,networked-services-labs-main\data\webfiles-samples\pdf,.pdf,36305,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\pdf\HR2021 commtext.pdf,2022-10-05T10:51:04,1de98a2344bec62c650f8adb4b8f33e0,ac4f23b0e41544f9d9387730d6aef9c0f1f9668343d6eeddb02734b3b8285b01
PFCHEJ.pdf,networked-services-labs-main\data\webfiles-samples\pdf,.pdf,10577,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\pdf\PFCHEJ.pdf,2022-10-05T10:51:04,fec5b4c417432aa2de0a482186f3d9d5,d38d370486dda2eb8a5c677c5d2e5d8d174301e30011776ea2689a2270f81f87
ADAEMPLOYMENTTaxIncentives.ppt,networked-services-labs-main\data\webfiles-samples\presentation,.ppt,137216,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\presentation\ADAEMPLOYMENTTaxIncentives.ppt,2022-10-05T10:51:04,f614356ebb35fa76d482709372237bd5,9b6b74447622ac1646a538e63e452569e111cf775d1244373678d947405e33be
BudgetandGrants012710.ppt,networked-services-labs-main\data\webfiles-samples\presentation,.ppt,85504,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\presentation\BudgetandGrants012710.ppt,2022-10-05T10:51:04,4080ec664a2b4b14fec1826c42ccc3a3,9d447bf8b8ecbb659b965d005abb40d18555aea98d414c6c44b4fc1bfaedbcab
Non-FTE-Trainee-Activities-060109.ppt,networked-services-labs-main\data\webfiles-samples\presentation,.ppt,67072,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\presentation\Non-FTE-Trainee-Activities-060109.ppt,2022-10-05T10:51:05,e71a83494f2565ee5168b7dc3d4de306,351b47d6681660cff330ab253902f92a638a5fb8e4ba3a39dfb2fc4b27778a70
04-04-21full.asf,networked-services-labs-main\data\webfiles-samples\video,.asf,98,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\video\04-04-21full.asf,2022-10-05T10:51:05,26888193625f2011edcea74b12d1b8bb,17c4b403484e859691f9dab8e7856be9cf71ff1aed2a0d73ea8006a1cf897c2d
glmp_cig.EQ.wm.p20.t12z,networked-services-labs-main\data\webfiles-samples\video,.t12z,8296,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\video\glmp_cig.EQ.wm.p20.t12z,2022-10-05T10:51:05,4b176dbcf901676ab7c9cd8e739d1b3b,15e3cb0ece2659d0df2047e2676573c4b6c5b829a55b852619df82362a586ae8
oct17cc.asx,networked-services-labs-main\data\webfiles-samples\video,.asx,106945,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\video\oct17cc.asx,2022-10-05T10:51:05,50727117109742107c6bef3e31ff1690,8f2b35c165fd754fe0d0f1f91c82da679223a976b2fb064c896e9326af3cfeb2
vlwhcssc.asx,networked-services-labs-main\data\webfiles-samples\video,.asx,356,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\video\vlwhcssc.asx,2022-10-05T10:51:05,c4af1d1687ff8f1a2f027bb04eec471b,5684ad9a401c7bd2444805de766d15cd1bd9973cf06c5d11068fb499f92dc77a
